nakhatra1,nakhatra2,compatibility
Shravana,Chitra,58
Shravana,Swati,61
Shravana,Vishakha,36
Shravana,Anuradha,72
Shravana,Jyeshta,55
Shravana,Mula,39
Shravana,Purva Ashadha,61
Shravana,Uttara Ashadha,58
Shravana,Shravana,77
Shravana,Dhanishta,61
Shravana,Shatabhisha,47
Shravana,Purva Bhadrapada,66
Shravana,Uttara Bhadrapada,80
Shravana,Revati,64
Uttara Ashadha,Ashwini,66
Uttara Ashadha,Bharani,72
Uttara Ashadha,Krittika,30
Uttara Ashadha,Rohini,37
Uttara Ashadha,Mrigashirsha,55
Uttara Ashadha,Ardra,67
Uttara Ashadha,Punarvasu,58
Uttara Ashadha,Pushya,63
Uttara Ashadha,Ashlesha,27
Uttara Ashadha,Magha,15
Uttara Ashadha,Purva Phalguni,60
Uttara Ashadha,Uttara Phalguni,68
Uttara Ashadha,Hasta,64
Uttara Ashadha,Chitra,55
Uttara Ashadha,Swati,55
Uttara Ashadha,Vishakha,32
Uttara Ashadha,Anuradha,64
Uttara Ashadha,Jyeshta,50
Uttara Ashadha,Moola,36
Uttara Ashadha,Purva Ashadha,77
Uttara Ashadha,Uttara Ashadha,68
Uttara Ashadha,Shravana,58
Uttara Ashadha,Dhanishta,52
Uttara Ashadha,Shatabhisha,63
Uttara Ashadha,Purva Bhadrapada,66
Uttara Ashadha,Uttara Bhadrapada,83
Uttara Ashadha,Revati,55
Purva Ashadha,Ashwini,66
Purva Ashadha,Bharani,47
Purva Ashadha,Krittika,47
Purva Ashadha,Rohini,53
Purva Ashadha,Mrigashirsha,40
Purva Ashadha,Ardra,77
Purva Ashadha,Punarvasu,65
Purva Ashadha,Pushya,33
Purva Ashadha,Ashlesha,42
Purva Ashadha,Magha,53
Purva Ashadha,Purva Phalguni,50
Purva Ashadha,Uttara Phalguni,75
Purva Ashadha,Hasta,75
Purva Ashadha,Chitra,36
Purva Ashadha,Swati,75
Purva Ashadha,Vishakha,38
Purva Ashadha,Anuradha,36
Purva Ashadha,Jyeshta,44
Purva Ashadha,Mula,77
Purva Ashadha,Purva Ashadha,77
Purva Ashadha,Uttara Ashadha,77
Purva Ashadha,Shravana,61
Purva Ashadha,Dhanishta,26
Purva Ashadha,Shatabhisha,64
Purva Ashadha,Purva Bhadrapada,66
Purva Ashadha,Uttara Bhadrapada,61
Purva Ashadha,Revati,83
Mula,Ashwini,33
Mula,Bharani,53
Mula,Krittika,65
Mula,Rohini,36
Mula,Mrigashirsha,51
Mula,Ardra,42
Mula,Punarvasu,29
Mula,Pushya,47
Mula,Ashlesha,61
Mula,Magha,66
Mula,Purva Phalguni,35
Mula,Uttara Phalguni,32
Mula,Hasta,42
Mula,Chitra,75
Mula,Swati,63
Mula,Vishakha,66
Mula,Anuradha,41
Mula,Jyeshta,39
Mula,Mula,77
Mula,Purva Ashadha,77
Mula,Uttara Ashadha,36
Mula,Shravana,39
Mula,Dhanishta,65
Mula,Shatabhisha,58
Mula,Purva Bhadrapada,41
Mula,Uttara Bhadrapada,66
Mula,Revati,72
Jyeshta,Ashwini,36
Jyeshta,Bharani,53
Jyeshta,Krittika,76
Jyeshta,Rohini,67
Jyeshta,Mrigashirsha,53
Jyeshta,Ardra,14
Jyeshta,Punarvasu,22
Jyeshta,Pushya,55
Jyeshta,Ashlesha,69
Jyeshta,Magha,88
Jyeshta,Purva Phalguni,66
Jyeshta,Uttara Phalguni,39
Jyeshta,Hasta,36
Jyeshta,Chitra,62
Jyeshta,Swati,41
Jyeshta,Vishakha,72
Jyeshta,Anuradha,86
Jyeshta,Jyeshta,77
Jyeshta,Mula,39
Jyeshta,Purva Ashadha,44
Jyeshta,Uttara Ashadha,50
Jyeshta,Shravana,55
Jyeshta,Dhanishta,68
Jyeshta,Shatabhisha,47
Jyeshta,Purva Bhadrapada,26
Jyeshta,Uttara Bhadrapada,55
Jyeshta,Revati,55
Anuradha,Ashwini,66
Anuradha,Bharani,47
Anuradha,Krittika,60
Anuradha,Rohini,80
Anuradha,Mrigashirsha,47
Anuradha,Ardra,53
Anuradha,Punarvasu,62
Anuradha,Pushya,47
Anuradha,Ashlesha,53
Anuradha,Magha,66
Anuradha,Purva Phalguni,62
Anuradha,Uttara Phalguni,80
Anuradha,Hasta,72
Anuradha,Chitra,23
Anuradha,Swati,58
Anuradha,Vishakha,59
Anuradha,Anuradha,77
Anuradha,Jyeshta,86
Anuradha,Mula,41
Anuradha,Purva Ashadha,36
Anuradha,Uttara Ashadha,64
Anuradha,Shravana,72
Anuradha,Dhanishta,32
Anuradha,Shatabhisha,61
Anuradha,Purva Bhadrapada,66
Anuradha,Uttara Bhadrapada,47
Anuradha,Revati,72
Vishakha,Ashwini,55
Vishakha,Bharani,50
Vishakha,Krittika,51
Vishakha,Rohini,30
Vishakha,Mrigashirsha,50
Vishakha,Ardra,46
Vishakha,Punarvasu,51
Vishakha,Pushya,54
Vishakha,Ashlesha,41
Vishakha,Magha,54
Vishakha,Purva Phalguni,55
Vishakha,Uttara Phalguni,50
Vishakha,Hasta,53
Vishakha,Chitra,74
Vishakha,Swati,40
Vishakha,Vishakha,60
Vishakha,Anuradha,59
Vishakha,Jyeshta,72
Vishakha,Mula,66
Vishakha,Purva Ashadha,38
Vishakha,Uttara Ashadha,32
Vishakha,Shravana,36
Vishakha,Dhanishta,70
Vishakha,Shatabhisha,70
Vishakha,Purva Bhadrapada,49
Vishakha,Uttara Bhadrapada,41
Vishakha,Revati,18
Swati,Ashwini,70
Swati,Bharani,78
Swati,Krittika,32
Swati,Rohini,42
Swati,Mrigashirsha,50
Swati,Ardra,75
Swati,Punarvasu,74
Swati,Pushya,69
Swati,Ashlesha,30
Swati,Magha,27
Swati,Purva Phalguni,66
Swati,Uttara Phalguni,69
Swati,Hasta,72
Swati,Chitra,65
Swati,Swati,77
Swati,Vishakha,40
Swati,Anuradha,58
Swati,Jyeshta,41
Swati,Mula,63
Swati,Purva Ashadha,75
Swati,Uttara Ashadha,55
Swati,Shravana,61
Swati,Dhanishta,65
Swati,Shatabhisha,61
Swati,Purva Bhadrapada,60
Swati,Uttara Bhadrapada,53
Swati,Revati,24
Chitra,Ashwini,47
Chitra,Bharani,22
Chitra,Krittika,61
Chitra,Rohini,49
Chitra,Mrigashirsha,37
Chitra,Ardra,65
Chitra,Punarvasu,58
Chitra,Pushya,30
Chitra,Ashlesha,67
Chitra,Magha,58
Chitra,Purva Phalguni,19
Chitra,Uttara Phalguni,47
Chitra,Hasta,79
Chitra,Chitra,66
Chitra,Swati,65
Chitra,Vishakha,74
Chitra,Anuradha,23
Chitra,Jyeshta,62
Chitra,Mula,75
Chitra,Purva Ashadha,36
Chitra,Uttara Ashadha,55
Chitra,Shravana,58
Chitra,Dhanishta,50
Chitra,Shatabhisha,69
Chitra,Purva Bhadrapada,45
Chitra,Uttara Bhadrapada,18
Chitra,Revati,43
Hasta,Ashwini,27
Hasta,Bharani,50
Hasta,Krittika,44
Hasta,Rohini,69
Hasta,Mrigashirsha,82
Hasta,Ardra,67
Hasta,Punarvasu,57
Hasta,Pushya,69
Hasta,Ashlesha,53
Hasta,Magha,39
Hasta,Purva Phalguni,55
Hasta,Uttara Phalguni,58
Hasta,Hasta,77
Hasta,Chitra,79
Hasta,Swati,72
Hasta,Vishakha,53
Hasta,Anuradha,72
Hasta,Jyeshta,36
Hasta,Mula,42
Hasta,Purva Ashadha,75
Hasta,Uttara Ashadha,64
Hasta,Shravana,66
Hasta,Dhanishta,51
Hasta,Shatabhisha,27
Hasta,Purva Bhadrapada,38
Hasta,Uttara Bhadrapada,72
Hasta,Revati,66
Uttara Phalguni,Ashwini,34
Uttara Phalguni,Bharani,60
Uttara Phalguni,Krittika,53
Uttara Phalguni,Rohini,72
Uttara Phalguni,Mrigashirsha,73
Uttara Phalguni,Ardra,61
Uttara Phalguni,Punarvasu,50
Uttara Phalguni,Pushya,52
Uttara Phalguni,Ashlesha,50
Uttara Phalguni,Magha,55
Uttara Phalguni,Purva Phalguni,80
Uttara Phalguni,Uttara Phalguni,61
Uttara Phalguni,Hasta,58
Uttara Phalguni,Chitra,47
Uttara Phalguni,Swati,69
Uttara Phalguni,Vishakha,50
Uttara Phalguni,Anuradha,80
Uttara Phalguni,Jyeshta,39
Uttara Phalguni,Mula,32
Uttara Phalguni,Purva Ashadha,75
Uttara Phalguni,Uttara Ashadha,68
Uttara Phalguni,Shravana,61
Uttara Phalguni,Dhanishta,40
Uttara Phalguni,Shatabhisha,37
Uttara Phalguni,Purva Bhadrapada,39
Uttara Phalguni,Uttara Bhadrapada,75
Uttara Phalguni,Revati,69
Purva Phalguni,Ashwini,67
Purva Phalguni,Bharani,47
Purva Phalguni,Krittika,43
Purva Phalguni,Rohini,66
Purva Phalguni,Mrigashirsha,46
Purva Phalguni,Ardra,75
Purva Phalguni,Punarvasu,62
Purva Phalguni,Pushya,39
Purva Phalguni,Ashlesha,41
Purva Phalguni,Magha,83
Purva Phalguni,Purva Phalguni,77
Purva Phalguni,Uttara Phalguni,80
Purva Phalguni,Hasta,55
Purva Phalguni,Chitra,19
Purva Phalguni,Swati,66
Purva Phalguni,Vishakha,55
Purva Phalguni,Anuradha,61
Purva Phalguni,Jyeshta,66
Purva Phalguni,Mula,53
Purva Phalguni,Purva Ashadha,50
Purva Phalguni,Uttara Ashadha,60
Purva Phalguni,Shravana,50
Purva Phalguni,Dhanishta,19
Purva Phalguni,Shatabhisha,50
Purva Phalguni,Purva Bhadrapada,64
Purva Phalguni,Uttara Bhadrapada,44
Purva Phalguni,Revati,67
Magha,Ashwini,55
Magha,Bharani,53
Magha,Krittika,47
Magha,Rohini,28
Magha,Mrigashirsha,57
Magha,Ardra,58
Magha,Punarvasu,51
Magha,Pushya,50
Magha,Ashlesha,41
Magha,Magha,77
Magha,Purva Phalguni,83
Magha,Uttara Phalguni,55
Magha,Hasta,39
Magha,Chitra,58
Magha,Swati,27
Magha,Vishakha,54
Magha,Anuradha,66
Magha,Jyeshta,88
Magha,Mula,66
Magha,Purva Ashadha,53
Magha,Uttara Ashadha,15
Magha,Shravana,11
Magha,Dhanishta,55
Magha,Shatabhisha,66
Magha,Purva Bhadrapada,47
Magha,Uttara Bhadrapada,50
Magha,Revati,33
Ashlesha,Ashwini,75
Ashlesha,Bharani,66
Ashlesha,Krittika,57
Ashlesha,Rohini,33
Ashlesha,Mrigashirsha,47
Ashlesha,Ardra,33
Ashlesha,Punarvasu,60
Ashlesha,Pushya,80
Ashlesha,Ashlesha,77
Ashlesha,Magha,41
Ashlesha,Purva Phalguni,41
Ashlesha,Uttara Phalguni,50
Ashlesha,Hasta,53
Ashlesha,Chitra,67
Ashlesha,Swati,30
Ashlesha,Vishakha,41
Ashlesha,Anuradha,53
Ashlesha,Jyeshta,69
Ashlesha,Mula,61
Ashlesha,Purva Ashadha,42
Ashlesha,Uttara Ashadha,27
Ashlesha,Shravana,36
Ashlesha,Dhanishta,60
Ashlesha,Shatabhisha,50
Ashlesha,Purva Bhadrapada,39
Ashlesha,Uttara Bhadrapada,55
Ashlesha,Revati,33
Pushya,Ashwini,83
Pushya,Bharani,61
Pushya,Krittika,68
Pushya,Rohini,75
Pushya,Mrigashirsha,41
Pushya,Ardra,55
Pushya,Punarvasu,76
Pushya,Pushya,77
Pushya,Ashlesha,80
Pushya,Magha,50
Pushya,Purva Phalguni,39
Pushya,Uttara Phalguni,52
Pushya,Hasta,69
Pushya,Chitra,39
Pushya,Swati,69
Pushya,Vishakha,54
Pushya,Anuradha,47
Pushya,Jyeshta,55
Pushya,Mula,47
Pushya,Purva Ashadha,33
Pushya,Uttara Ashadha,63
Pushya,Shravana,75
Pushya,Dhanishta,24
Pushya,Shatabhisha,36
Pushya,Purva Bhadrapada,60
Pushya,Uttara Bhadrapada,50
Pushya,Revati,72
Punarvasu,Ashwini,55
Punarvasu,Bharani,76
Punarvasu,Krittika,56
Punarvasu,Rohini,66
Punarvasu,Mrigashirsha,67
Punarvasu,Ardra,51
Punarvasu,Punarvasu,57
Punarvasu,Pushya,76
Punarvasu,Ashlesha,60
Punarvasu,Magha,51
Punarvasu,Purva Phalguni,62
Punarvasu,Uttara Phalguni,50
Punarvasu,Hasta,57
Punarvasu,Chitra,58
Punarvasu,Swati,74
Punarvasu,Vishakha,51
Punarvasu,Anuradha,62
Punarvasu,Jyeshta,22
Punarvasu,Mula,29
Punarvasu,Purva Ashadha,65
Punarvasu,Uttara Ashadha,58
Punarvasu,Shravana,68
Punarvasu,Dhanishta,46
Punarvasu,Shatabhisha,25
Punarvasu,Purva Bhadrapada,41
Punarvasu,Uttara Bhadrapada,70
Punarvasu,Revati,69
Ardra,Ashwini,44
Ardra,Bharani,69
Ardra,Krittika,49
Ardra,Rohini,64
Ardra,Mrigashirsha,78
Ardra,Ardra,77
Ardra,Punarvasu,51
Ardra,Pushya,55
Ardra,Ashlesha,33
Ardra,Magha,58
Ardra,Purva Phalguni,75
Ardra,Uttara Phalguni,61
Ardra,Hasta,67
Ardra,Chitra,65
Ardra,Swati,75
Ardra,Vishakha,46
Ardra,Anuradha,53
Ardra,Jyeshta,14
Ardra,Mula,42
Ardra,Purva Ashadha,77
Ardra,Uttara Ashadha,64
Ardra,Shravana,61
Ardra,Dhanishta,50
Ardra,Shatabhisha,33
Ardra,Purva Bhadrapada,48
Ardra,Uttara Bhadrapada,72
Ardra,Revati,72
Mrigasira,Ashwini,61
Mrigasira,Bharani,43
Mrigasira,Krittika,54
Mrigasira,Rohini,77
Mrigasira,Mrigasira,64
Mrigasira,Ardra,78
Mrigasira,Punarvasu,67
Mrigasira,Pushya,41
Mrigasira,Ashlesha,47
Mrigasira,Magha,57
Mrigasira,Purva Phalguni,46
Mrigasira,Uttara Phalguni,73
Mrigasira,Hasta,82
Mrigasira,Chitra,37
Mrigasira,Swati,50
Mrigasira,Vishakha,50
Mrigasira,Anuradha,47
Mrigasira,Jyeshta,53
Mrigasira,Mula,51
Mrigasira,Purva Ashadha,40
Mrigasira,Uttara Ashadha,55
Mrigasira,Shravana,39
Mrigasira,Dhanishta,35
Mrigasira,Shatabhisha,65
Mrigasira,Purva Bhadrapada,69
Mrigasira,Uttara Bhadrapada,49
Mrigasira,Revati,74
Rohini,Ashwini,62
Rohini,Bharani,64
Rohini,Krittika,30
Rohini,Rohini,55
Rohini,Mrigashirsha,77
Rohini,Ardra,64
Rohini,Punarvasu,66
Rohini,Pushya,75
Rohini,Ashlesha,33
Rohini,Magha,28
Rohini,Purva Phalguni,66
Rohini,Uttara Phalguni,72
Rohini,Hasta,69
Rohini,Chitra,49
Rohini,Swati,42
Rohini,Vishakha,30
Rohini,Anuradha,80
Rohini,Jyeshta,67
Rohini,Mula,36
Rohini,Purva Ashadha,53
Rohini,Uttara Ashadha,37
Rohini,Shravana,50
Rohini,Dhanishta,53
Rohini,Shatabhisha,76
Rohini,Purva Bhadrapada,60
Rohini,Uttara Bhadrapada,75
Rohini,Revati,53
Krittika,Ashwini,61
Krittika,Bharani,65
Krittika,Krittika,65
Krittika,Rohini,30
Krittika,Mrigashirsha,54
Krittika,Ardra,49
Krittika,Punarvasu,56
Krittika,Pushya,68
Krittika,Ashlesha,57
Krittika,Magha,47
Krittika,Purva Phalguni,43
Krittika,Uttara Phalguni,53
Krittika,Hasta,44
Krittika,Chitra,61
Krittika,Swati,32
Krittika,Vishakha,51
Krittika,Anuradha,60
Krittika,Jyeshta,76
Krittika,Mula,65
Krittika,Purva Ashadha,47
Krittika,Uttara Ashadha,30
Krittika,Shravana,32
Krittika,Dhanishta,70
Krittika,Shatabhisha,75
Krittika,Purva Bhadrapada,54
Krittika,Uttara Bhadrapada,50
Krittika,Revati,32
Bharani,Ashwini,91
Bharani,Bharani,77
Bharani,Krittika,65
Bharani,Rohini,64
Bharani,Mrigashirsha,43
Bharani,Ardra,69
Bharani,Punarvasu,76
Bharani,Pushya,61
Bharani,Ashlesha,66
Bharani,Magha,53
Bharani,Purva Phalguni,47
Bharani,Uttara Phalguni,60
Bharani,Hasta,50
Bharani,Chitra,22
Bharani,Swati,78
Bharani,Vishakha,50
Bharani,Anuradha,47
Bharani,Jyeshta,35
Bharani,Mula,35
Bharani,Purva Ashadha,47
Bharani,Uttara Ashadha,72
Bharani,Shravana,77
Bharani,Dhanishta,26
Bharani,Shatabhisha,53
Bharani,Purva Bhadrapada,62
Bharani,Uttara Bhadrapada,11
Bharani,Revati,69
Ashwini,Ashwini,77
Ashwini,Bharani,91
Ashwini,Krittika,61
Ashwini,Rohini,62
Ashwini,Mrigashirsha,61
Ashwini,Ardra,44
Ashwini,Punarvasu,55
Ashwini,Pushya,83
Ashwini,Ashlesha,75
Ashwini,Magha,55
Ashwini,Purva Phalguni,67
Ashwini,Uttara Phalguni,34
Ashwini,Hasta,27
Ashwini,Chitra,47
Ashwini,Swati,70
Ashwini,Vishakha,55
Ashwini,Anuradha,66
Ashwini,Jyeshta,36
Ashwini,Mula,33
Ashwini,Purva Ashadha,66
Ashwini,Uttara Ashadha,66
Ashwini,Shravana,72
Ashwini,Dhanishta,53
Ashwini,Shatabhisha,38
Ashwini,Purva Bhadrapada,42
Ashwini,Uttara Bhadrapada,64
Ashwini,Revati,72

